"Designator","Comment","Layer","Footprint","Mid-X","Mid-Y","Rotation","Description"
"C15","1u","TopLayer","CAP_0603","42.0000","22.5000","0","1uF �10% 25V Ceramic Capacitor X7R 0603"
"C14","100n","TopLayer","CAP_0603","42.0000","24.0000","0","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C13","4u7","TopLayer","CAP_0603","47.5000","32.7500","90","4.7uF �10% 25V Ceramic Capacitor X5R 0603"
"C12","100n","TopLayer","CAP_0603","34.2000","25.2000","0","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C11","10u","TopLayer","CAP_0805","49.2500","35.6430","90","10uF �10% 16V Ceramic Capacitor X7R 0805"
"C10","100n","TopLayer","CAP_0603","36.2500","39.0000","180","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C9","100n","TopLayer","CAP_0603","32.5000","28.0000","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C8","100n","TopLayer","CAP_0603","47.5000","35.5000","90","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C7","100n","TopLayer","CAP_0603","47.5000","28.5000","90","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C6","100n","TopLayer","CAP_0603","19.8000","46.2250","180","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C5","10u","TopLayer","CAP_0805","29.0000","8.6430","270","10uF �10% 16V Ceramic Capacitor X7R 0805"
"C4","10u","TopLayer","CAP_0805","16.6000","43.9250","270","10uF �10% 16V Ceramic Capacitor X7R 0805"
"C3","4u7","TopLayer","CAP_0603","22.7000","43.7250","270","4.7uF �10% 25V Ceramic Capacitor X5R 0603"
"C2","1u","TopLayer","CAP_0603","29.7500","45.5000","270","1uF �10% 25V Ceramic Capacitor X7R 0603"
"C1","1u","TopLayer","CAP_0603","33.7500","45.5000","270","1uF �10% 25V Ceramic Capacitor X7R 0603"
